inci_name,function_inci,ph_min,ph_max,usage_level_min,usage_level_max
2-Hydroxyethyl Picramic Acid,hair dyeing,,,,
Zinc chromates including zinc potassium chromate,Colorant,,,,
"[4-[[4-Anilino-1-naphthyl][4-(dimethylamino)phenyl]methylene]cyclohexa-2,5-dien-1-ylidene]dimethylammonium chloride (Basic Blue 26; CI 44045)",Colorant,,,,
"[6-[[3-Chloro-4-(methylamino)phenyl]imino]-4-methyl-3-oxocyclohexa-1,4-dien-1-yl]urea (HC Red No 9)",Colorant,,,,
"1,2-Heptanediol",,-1.00,,,
m-Dimethylaminophenyl Urea,Colorant,,,,
m-Phenylenediamine and its salts,Colorant,,,,
"Distillates (petroleum), clay-treated middle, except if the full refining history is known and it can be shown that the substance from which it is produced is not a carcinogen",,,,0.000,
Actinidia Chinensis Fruit Water,masking,,,,
m-Aminophenol Sulfate,Colorant,,,,
m-Phenylenediamine,Colorant,,,,
Adansonia Grandidieri Seed Oil,,,,0.000,
"Distillates (petroleum), highly refined middle, except if the full refining history is known and it can be shown that the substance from which it is produced is not a carcinogen",,,,0.000,
m-Phenylenediamine Sulfate,Colorant,,,,
Adenosine Triphosphate,skin conditioning,,,,
"Distillates (petroleum), hydrodesulfurized full-range middle",,,,0.100,50.000
Adipic Acid,buffering,,,,
m-Aminophenol HCl,Colorant,,,,
"mixture of Diaminotoluene, [4-methyl-m-phenylene diamine] and [2-methyl-m-phenylene diamine]",Colorant,,,,
"o-Phenylenediamine; 1,2-Benzenediamine",Colorant,,,,
"2,2,6-Trimethyl-4-piperidyl benzoate (eucaine) and its salts",,,,0.000,
p-Aminophenol,Colorant,,,,
o-phenylenediamine dihydrochloride,Colorant,,,,
p-Amino-o-nitrophenol,Colorant,,,,
"Distillates (petroleum), intermediate paraffinic, carbon-treated",,,,0.000,
Adipic Acid/Dilinoleic Acid/Hexylene Glycol Copolymer,,,,0.000,
"Distillates (petroleum), intermediate paraffinic, clay-treated, except if the full refining history is known and it can be shown that the substance from which it is produced is not a carcinogen",,,,0.000,
o-Phenylenediamine and its salts,Colorant,,,,
"2,4-Diaminoanisole sulfate",,-1.00,,,
p-Amino-o-nitrophenol(4-Amino-2-nitrophenol),Colorant,,,,
o-Toluidine based dyes,Colorant,,,,
Agave Americana Leaf Extract,skin conditioning,,,,
"Distillates (petroleum), sweetened middle, except if the full refining history is known and it can be shown that the substance from which it is produced is not a carcinogen",,,,0.000,
"2,7-Naphthalenediol(and its salts)",,-1.00,,,
Alanyl Glutamine,moisturizer/humectant,,,,
p-Aminophenol HCl,Colorant,,,,
Cellulose Acetate Phthalate,Film Former,,,,
Algae Exopolysaccharides,moisturizer/humectant,,,,
p-Aminophenol Sulfate,Colorant,,,,
p-Methylaminophenol,Colorant,,,,
Alkyl (C12-C22) Trimethyl Ammonium Bromide And Chloride,,-1.00,,,
2-Hydroxystearic Acid,,,,0.000,
p-Phenylenediamine,Colorant,,,,
p-Toluidine; 4-Aminotoluene,Colorant,,,,
Allium Sativum Bulb Oil,"masking, skin conditioning",,,,
p-Toluene diamine,Colorant,,,,
Allyl Nonanoate,,,,0.000,
p-Phenetidine (4-Ethoxyaniline),Colorant,,,,
p-Phenylenediamine HCl,Colorant,,,,
Almond/Borage/Linseed/Olive Acids/Glycerides,,,,0.000,
Cyclohexanone,"perfuming, solvent",,,,
m-Phenylenediamine HCl,Colorant,,,,
"4-[4-(1,3-Dihydroxyprop-2-yl)phenylamino]-1,8-dihydroxy-5-nitroanthraquinone",Colorant,,,,
CI 60725/Alizurine Purple SS,Colorant,,,,
6-Nitro-m-cresol,Colorant,,,,
Almondamidopropylamine Oxide,,-1.00,,,
Aloe Barbadensis Extract,"soothing, emollient, moisturizer/humectant",,,,
CI 77891/Titanium Dioxide,"Colorant, UV Filter",-1.00,,,
Aloe Barbadensis Leaf Juice,"soothing, moisturizer/humectant",,,,
Titanium/Titanium Dioxide,"Colorant, UV Filter",-1.00,,,
Aloe Barbadensis Leaf Polysaccharides,"emollient, moisturizer/humectant",,,,
4-Nitro-m-Phenylenediamine and its salts (e.g. : p-Nitro-m-phenylenediamine Sulfate),Colorant,,,,
Aloe Ferox Leaf Juice Extract,skin conditioning,,,0.000,
Chromic Oxychloride,Colorant,,,,
"2,2'-([4-(Methylamino)-3-nitrophenyl]imino)bis(ethanol)",Colorant,,,,
"4,4'-Iminodiphenol",Colorant,,,,
Dibromopropamidine and its salts(including isothianate),,-1.00,,,
Alpha-Glucan,moisturizer/humectant,,,,
Dicaprylyl Carbonate,,,,2.000,15.000
Dicetyl Dipeptide-9,,,,0.000,
2-Chloro-5-nitro-N-hydroxyethyl-p-phenylenediamine and its salts,Colorant,,,,
Solvent Blue 35,Colorant,,,,
Fluorescent Brightener 230,Colorant,,,,
Althaea Officinalis Root,skin conditioning,,,0.000,
Dicocodimonium Chloride,,,,0.100,5.000
Basic Violet 1,Colorant,,,,
"N-Methyl-1,4-Diaminoanthraquinone, reaction products with epichlorohydrin and monoethanolamine (HC Blue No 4) and its salts",Colorant,,,,
Nickel Monoxide,Colorant,,,,
Thiosemicarbazide(1-amino-2-thiourea),"Colorant, Pearlescent Agent",-1.00,,,
Sodium Laureth-12 Sulfate,,-1.00,,,
"Aluminium, zinc, magnesium and calcium stearates",,,,0.000,
Perfluoroalkylsilyl Mica,"Colorant, Pearlescent Agent",,,,
Aluminum Caprylate,,,,0.100,3.000
"1-Amino-2-nitro-4-(2',3'-dihydroxypropyl)amino-5-chlorobenzene and 1,4-bis-(2',3'-dihydroxypropyl)amino-2-nitro-5-chlorobenzene and its salts (e.g. HC red no.10, HC red no.11)",Colorant,,,,
CI 12245/Basic Red 76,Colorant,,,,
Aluminum Isostearates/Laurates/Stearates,,,,0.000,
Direct Red 81,Colorant,,,,
5-Amino-4-fluoro-2-methylphenol sulfate,,-1.00,,,
Aluminum Isostearates/Myristates,,,,0.000,
5-Amino-o-cresol sulfate,Colorant,,,,
Metanil Yellow,Colorant,,,,
o-Phenylenediamine,Colorant,,,,
2-Nitro-4-cresol,Colorant,,,,
3-Nitro-4-Aminophenoxyethanol,Colorant,,,,
Aluminum Lactate,"buffering, astringent, deodorant",,,,
Diethylene Glycol,,,,0.000,
"Toluene-2,5-diamine Toluene-2,5-diamine sulphate",Colorant,,,,
Aluminum Myristates/Palmitates,,,,0.000,
N-(2-Methoxyethyl)-p-phenylenediamine and its HCl salt,Colorant,,,,
Aluminum Sucrose Octasulfate,soothing,,,,
Diethylhexyl Carbonate,,,,0.100,20.000
Aminoethanesulfinic Acid,antioxidant,,,,
Aminoethylphosphinic Acid,skin conditioning,,,,
PEG-150 Distearate,Viscosity Increasing Agent - Aqueous,5.00,9.00,0.500,5.000
Acetum,antistatic,,,,
Acetamidocaproic Acid,antioxidant,,,,
Aminopropyl Ascorbyl Phosphate,"antioxidant, skin brightening",,,,
Aminopropyl Dimethicone,hair conditioning,,,,
Acetyl Methyl Oleanolate,,,,0.000,
Prorocentrum Micans Cell Extract,"Colorant, Pearlescent Agent",,,,
Aminopropyl Laurylglutamine,,-1.00,,,
Actinidia Chinensis Seed,"abrasive/scrub, emollient",,,,
Ammonium Acrylates Copolymer,viscosity controlling,,,,
Dihexyl Sodium Sulfosuccinate,,-1.00,,,
Acetylcholine perchlorate,,,,0.000,
"Acetyldihydrocodeine; (5alpha,6alpha)-4,5-Epoxy-3-methoxy-17-methylmorphinan-6-yl acetate",,,,0.000,
"4-Methylbenzyl 4,5-Diamino Pyrazole Sulfate",Colorant,,,,
Dihydrazinium Sulphate,,-1.00,,,
Dihydrocholeth-30,,,,0.000,
Disodium Oleamido PEG-2 Sulfosuccinate,,-1.00,,,
Dicocamine,,-1.00,,,
Acetamidoethoxyethanol,moisturizer/humectant,-1.00,,,
TAED,,-1.00,,,
Acyl Coenzyme A Desaturase,skin conditioning,,,,
Adenine,skin conditioning,,,,
"Distillates (petroleum), light naphthenic",,,,0.000,
Dihydroxyethyl C8-10 Alkoxypropylamine Oxide,,-1.00,,,
Aka503,Colorant,,,,
Dithiomethylbenzamide,,-1.00,,,
Algae,skin conditioning,,,,
Algae Oligosaccharides,skin conditioning,,,,
Dihydroxyethyl C9-11 Alkoxypropylamine Oxide,,-1.00,,,
Ammonium Phosphatidyl Rapeseedate,,,,0.500,5.000
Alloferon-1,skin brightening,,,,
Ammonium Silver Zinc Aluminum Silicate,"preservative, absorbent/mattifier, deodorant",,,,
Dihydroxyisopropyl Palmoylpalmamide,,,,0.100,3.000
Glyceryl Dioleate,,,,0.500,10.000
Alpha-Glucan Oligosaccharide-1,moisturizer/humectant,,,,
Dodecene,,,,0.100,30.000
Alphacetylmethadol,,,,0.000,
Alumina,"viscosity controlling, abrasive/scrub, absorbent/mattifier",,,,
Aluminum Chlorohydrate,"astringent, deodorant",,,,
Aluminum Chlorohydrex,"astringent, deodorant",,,,
Amodimethicone,emollient,,,0.100,2.000
Dihydroxymethylsilylpropoxy Hydroxypropyl Hydrolyzed Casein,,,,0.500,5.000
Amodimethicone/Morpholinomethyl Silsesquioxane Copolymer,,,,0.000,
Diisostearamidopropyl Epoxypropylmonium Chloride,,,,0.000,
Aluminum Zirconium Pentachlorohydrate,"astringent, deodorant",,,,
Aluminum Zirconium Pentachlorohydrex GLY,"astringent, deodorant",,,,
Diisostearyl Adipate,,,,0.000,
Diisostearyl Sebacate,,,,0.000,
Amorphophallus Konjac Root Powder,abrasive/scrub,,,,
Aminopeptidase,skin conditioning,,,,
Dilinoleamidopropyl Dimethylamine Dimethicone PEG-7 Phosphate,,,,0.000,
Amyloglucosidase,skin conditioning,,,,
Distearoylisopropyl Dimonium Methosulfate,,,,0.500,5.000
Ammonium Lauryl Sulfosuccinate,,-1.00,,,
Anthemis Nobilis Flower Oil,"soothing, perfuming",,,,
Amniotic Fluid,moisturizer/humectant,,,,
Andrographolide,skin conditioning,,,,
Anthemis Nobilis Flower/Leaf/Stem Oil,,,,0.000,
Dimer Dilinoleyl Diisostearate,,,,0.000,
"2,2'-[(4-Amino-3-nitrophenyl)imino]bisethanol hydrochloride and its salts (e.g. HC Red No. 13)",Colorant,,,,
Anthriscus Sylvestris Extract,skin conditioning,,,,
C10-16 Alkyl Glucoside,"emulsifying, surfactant/cleansing",-1.00,,,
Apricot Kernel Oil PEG-40 Esters,,,,0.000,
Dimethicone PEG-8 Isostearate,,,,0.000,
Cystine Bis-PG-Propyl Silanetriol,skin conditioning,,,,
Apricotamidopropyl Ethyldimonium Ethosulfate,,-1.00,,,
Aquilaria Agallocha Wood Oil,masking,,,0.010,1.000
2-Amino-4-Nitrophenol Sulfate,Colorant,,,,
Arachidyl/Behenyl Betainate Esylate,,-1.00,,,
Arachidyl Glycol,,,,0.000,
Dimethicone/Vinyl Dimethicone Crosspolymer,,,,0.000,
5-[(2-hydroxyethyl)amino]-o-cresol,Colorant,,,,
Yucca Schidigera Fruit,,-1.00,,,
Cetearyl/Cetearyl Polypropanediol-8 Phosphate,,-1.00,,,
Asiatic Acid,"skin conditioning, stabilising",,,,
Cytidine,"skin conditioning, skin protecting",,,,
Dimethiconol Illipe Butterate,,,,0.000,
Artemisia Pallens Flower/Leaf/Stem Oil,,,,0.010,1.000
Dimethiconol Sal Butterate,,,,0.000,
Ascorbic Acid Polypeptide,antioxidant,,,,
Avena Sativa Kernel Protein,"film forming, hair conditioning, skin conditioning",,,,
Asiaticoside,"antioxidant, perfuming",,,,
Sodium C13-15 Alketh-8 Phosphate,,-1.00,,,
Babassuamidopropyl Hydroxysultaine,viscosity controlling,-1.00,,,
Bacillus,skin conditioning,,,,
Astrocaryum Murumuru Seed Powder,,,,0.000,
"N-[4-[[4-(diethylamino)phenyl][4-(ethylamino)-1-naphthalenyl]methylene]-2,3-cyclohexadien-1-ylidine]-N-ethyl-Ethanaminium and its salts",Colorant,,,,
"Aniline, its salts and its halogenated and sulphonated derivatives",Colorant,,,,
Astrocaryum Tucuma Seed Butter,emollient,,,0.000,
"2,6-Dimethyl-p-Phenylenediamine",Colorant,,,,
Astrocaryum Vulgare Kernel oil,skin conditioning,,,0.000,
Atelocollagen,skin conditioning,,,,
Sodium C12-15 Alketh-15 Sulfonate,,-1.00,,,
Avena Sativa (Oat) Extract,,,,0.000,
Toluidine,Colorant,,,,
Avena Sativa Bran,"abrasive/scrub, absorbent/mattifier",,,,
"4-Methoxytoluene-2,5-Diamine HCl",Colorant,,,,
"Gas oils, paraffinic",,,,0.000,
Benzalkonium Cetyl Phosphate,,-1.00,,,
Avena Sativa Kernel Extract,"antioxidant, soothing, emollient, abrasive/scrub",,,,
Betulin,skin conditioning,,,,
Avena Sativa Kernel Oil,skin conditioning,,,0.000,
HC VIOLET NO 1,Colorant,,,,
Benzyl Nicotinate,"antistatic, skin conditioning",,,,
Avena Sativa Leaf Extract,astringent,,,0.000,
Avocadamidopropalkonium Chloride,,,,0.500,3.000
Azadirachta Indica Leaf Oil,masking,,,0.000,
"Gas oils, paraffinic, except if the full refining history is known and it can be shown that the substance from which it is produced is not a carcinogen",,,,0.000,
Dimethylimidazolidinone Corn Starch,,-1.00,,,
Sorbitan Laurate,,-1.00,,,
Biphenyl-4-ylamine and its salts,,-1.00,,,
Bis-(Methoxy PEG-45 Polycaprolactone) Hexanedicarbamate,,-1.00,,,
Baicalein,skin conditioning,,,,
"2,3-Dihydro-2,2-dimethyl-6-[(4-(phenylazo)-1-naphthelenyl)azo]-1H-pyrimidine",Colorant,,,,
Aluminum Zirconium Tetrachlorohydrex GLY,"astringent, deodorant",,,,
Bambusa Arundinacea Juice,abrasive/scrub,,,0.000,
Banksia Serrata Seed Oil,"antioxidant, moisturizer/humectant",,,0.000,
Sodium C12-14 Sec-Alketh-8 Carboxylate,,-1.00,,,
Basic Red 51,colorant,,,,
CI 73900,Colorant,,,,
Dioctyldodecyl Lauroyl Glutamate,,-1.00,,,
Germinated Oryza Sativa Grain,,,,0.500,5.000
Dioleoyl PG-Trimonium Chloride,,,,0.100,5.000
Butane,propellant,,,,
Behenamidopropyl Dimethylamine Behenate,viscosity controlling,,,2.000,8.000
Dipentaerythrityl Hexaheptanoate/Hexacaprylate/Hexacaprate,,,,0.000,
1-[(3-Aminopropyl)amino]-4-(methylamino)anthraquinone,Colorant,,,,
"Chlorophylls,CI 75810",Colorant,,,,
"Disperse Violet 1,CI 61100",Colorant,,,,
"Orange no. 401,CI 11725",Colorant,,,,
CI 20040,Colorant,,,,
Aka3,Colorant,,,,
Dihydroxyethyl Toluidine,Colorant,,,,
Aluminum Tris-Hydroxynitrosoaniline,Colorant,,,,
Aniline,Colorant,,,,
Dimethylaminostyryl Heptyl Methyl Thiazolium Iodide,Colorant,,,,
Basic Violet 3(Crystal Violet),Colorant,,,,
Beetroot Red,Colorant,,,,
PEG-444 Pentaerythrityl Tetra(Glutaroylsuccinimide),,-1.00,,,
CI 42170,Colorant,,,,
Behenylcarbamoylpropyl Polysilsesquioxane,bulking,,,,
Benincasa Cerifera Fruit Extract,skin conditioning,,,,
CI 76050,Colorant,,,,
Hydrated Silica,Colorant,,,,
Hydroxyphenylaminopyridine Methoxybenzenesulfonamide,Colorant,,,,
Malachite,Colorant,,,,
Benzalkonium bromide and saccharinate,,-1.00,,,
CI 10316/Naphthol Yellow S,Colorant,,,,
Alpha-Glucan Oligosaccharide,"cleansing, skin conditioning, smoothing",-1.00,,,
CI 15850:1/Lithol Rubine BCA,Colorant,,,,
Carbon Extract,Colorant,,,,
Calcium Laurate,,,,0.000,
CI 17200/Fast Acid Magenta,Colorant,,,,
Benzyl Ursolate,"skin conditioning, skin conditioning - emollient",,,,
CI 18820/Fast Light Yellow 3G,Colorant,,,,
Aluminum Sesquichlorohydrate,"astringent, deodorant",,,,
CI 45380:2/Tetrabromofluorescein,Colorant,,,,
CI 18736,Colorant,,,,
"Tar, brown-coal, low-temp.",Colorant,,,,
CI 15985,Colorant,,,,
CI 77015,Colorant,,,,
C12-13 Pareth-12,,-1.00,,,
Methocarbamol,,-1.00,,,
(4-Hydrazinophenyl)-N-Methylmethanesulfonamide Hydrochloride,Colorant,,,,
"1,2,4-Benzenetriacetate",Colorant,,,,
"1,3-Benzenediamine, 4-methyl-, hydrochloride (1:2)",Colorant,,,,
"1,3-Bis-(2,4-Diaminophenoxy) Propane HCl",Colorant,,,,
Betaine Salicylate,"exfoliant, antimicrobial/antibacterial",,,,
"1,3-Bis-(2,4-diaminophenoxy)propane and its salts",Colorant,,,,
"1,4-Diamino-2-methoxy-9,10-anthracenedione",Colorant,,,,
Bifonazole,antimicrobial/antibacterial,,,,
Biosaccharide Gum-3,skin conditioning,,,,
"1,4-Diamino-2-methoxy-9,10-anthracenedione (Disperse Red 11) and its salts",Colorant,,,,
2-Acrylamido-2-Methylpropane Sulfonic Acid,not reported,-1.00,,,
PEG-15 Lanolate,,-1.00,,,
"Distillates (petroleum), acid-treated light",,,,0.000,
Cellulase,viscosity controlling,,,,
1-(Beta-Ureidoethyl)amino-4-nitrobenzene and its salts (e.g. 4-Nitrophenyl aminoethylurea),Colorant,,,,
Bis Dimethicone,,,,0.000,
Centella Asiatica Meristem Cell Culture,antioxidant,,,,
"1,4-Dihydroxy-5,8-bis[(2-hydroxyethyl)amino]anthraquinone",Colorant,,,,
Cetearyl Betainate Mesylate,,-1.00,,,
"2,6-Diaminopyridine Sulfate",Colorant,,,,
PPG-6-Deceth-4,,-1.00,,,
1- and 2-Naphthylamines and their salts,Colorant,,,,
Cetyl Tranexamate Mesylate,skin brightening,,,0.000,
Polyglyceryl-20 Cocoate/Sebacate,,-1.00,,,
"N,N-Dimethyl-p-phenylenediamine and its salts",Colorant,,,,
Iron Powder,Colorant,,,,
Dodecyltetradecanol,,,,0.500,15.000
Bis-Aminopropyl Dimethicone,hair conditioning,,,0.500,5.000
1-((4-Phenylazo)phenylazo)-2-naphthol (Solvent Red 23; CI 26100),Colorant,,,,
Bis-Behenyl/Isostearyl/Phytosteryl Dimer Dilinoleyl Dimer Dilinoleate,,,,0.000,
1-(2-Aminoethyl)amino-4-(2-hydroxyethyl)oxy-2-nitrobenzene and its salts (e.g. HC Orange No. 2),Colorant,,,,
Chloroacetic Acid,keratolytic,,,,
1-(beta-hydroxyethyl)amino-2-nitro-4-N-ethyl-N-(beta-hydroxyethyl)aminobenzene hydrochloride,Colorant,,,,
1-(phenylazo)-2-naphtol (C.I SOLVENT Yellow 14),Colorant,,,,
"Bis-Bromoacetyl 1,6-Hexanediamine",,,,0.000,
Polyglyceryl-3 Lactate/Laurate,,-1.00,,,
Cholesteryl Lactate,,,,0.100,5.000
1-Amino-4-[[4-[(Dimethylamino)Methyl]Phenyl]Amino]Anthraquinone and its salts,Colorant,,,,
"1-Hydroxy-2,4-diaminobenzene (2,4-Diaminophenol) and its dihydrochloride salts (2,4-Diaminophenol HCl)",Colorant,,,,
Chrysin,skin conditioning,,,,
"1-Hydroxyethyl 4,5-Diamino Pyrazole Sulfate",Colorant,,,,
Ciclopirox Olamine,antimicrobial/antibacterial,,,,
1-Methyl-3-Nitro-4-(β-hydroxyethyl)aminobenzene,Colorant,,,,
Bis-Ethylhexyl Hydroxydimethoxy Benzylmalonate,antioxidant,,,,
4-Hydroxypropylamino-3-nitrophenol(and its salts),Colorant,,,,
1-[(2-Chloro-4-nitrophenyl)azo]-2-naphthol (Pigment Red 4; CI 12085),Colorant,,,,
Polyglyceryl-3 Oleate/Stearate,,-1.00,,,
Citrus Grandis Peel,perfuming,,,,
EGMME,,-1.00,,,
Sodium Maleated Soybean Oil,,-1.00,,,
1-[(3-Aminopropyl)amino]-4-(methylamino)anthraquinone and its salts,Colorant,,,,
Bis-Hexyldioxodecyl Methyl Lysinate,,,,0.000,
"2,2'-Iminobis-Ethanol, reaction products with epichlorohydrin and 2-nitro-1,4-benzenediamine (HC Blue No. 5) and its salts",Colorant,,,,
Bis-Hydrogen Dimethicone,,,,0.000,
"2,2'-Methylenebis 4-Aminophenol",Colorant,,,,
Clotrimazole,antimicrobial/antibacterial,,,,
2-[(4-Amino-2-Methyl-5-Nitrophenyl)Amino]Ethanol and its salts (e.g. HC Violet 1),Colorant,,,,
Cloforex,,-1.00,,,
Bis-Hydroxyethoxypropyl Dimethicone/IPDI/Sorbitan Stearate Copolymer,,,,0.000,
Cobalt Gluconate,skin conditioning,,,,
Steareth-6,,-1.00,,,
Coal Tar,Colorant,,,,
Ammonium Sulfite,,-1.00,,,
C12-16 Alketh-7,,-1.00,,,
"3-Hydroxy-N-(o-tolyl)-4-[(2,4,5-trichlorophenyl)azo]naphthalene-2-carboxamide (Pigment Red 112; CI 12370)",Colorant,,,,
"2,2'-[Cyclohexylidenebis[(2-methyl-4,1-phenylene)azo]]bis[4-cyclohexylphenol] (Solvent Yellow 29; CI 21230)",Colorant,,,,
Acetyl Hexapeptide-8,Skin Conditioning Agent,3.00,8.00,3.000,10.000
Palmitoyl Tripeptide-1,cell-communicating ingredient,,,,
Palmitoyl Tetrapeptide-7,cell-communicating ingredient,,,,
Tripeptide-29,cell-communicating ingredient,,,,
Acetyl Octapeptide-3,Skin Conditioning Agent,3.00,8.00,3.000,10.000
Copper Tripeptide-1,"cell-communicating ingredient, soothing, antioxidant",,,,
"2,2'-[[4-[(2-Hydroxyethyl)amino]-3-nitrophenyl]imino]bisethanol",Colorant,,,,
Elaeis Fruit Oil,,,,0.000,
Colloidal Gold,antimicrobial/antibacterial,,,,
Colloidal Sulfur,antimicrobial/antibacterial,,,,
"2,2'-[[4-[(2-Hydroxyethyl)amino]-3-nitrophenyl]imino]bisethanol and its salts(e.g. HC Blue No. 2)",Colorant,,,,
Colostrum Cream,,,,0.000,
Biotinoyl Hexapeptide-2 Amide,skin conditioning,,,,
Commiphora Myrrha Resin,masking,,,,
"2,4-Diamino-5-methylphenetol",Colorant,,,,
Copaifera Officinalis Resin,"film forming, masking",,,,
Copper Citrate,antimicrobial/antibacterial,,,,
Copper DNA,skin conditioning,,,,
Copper Gluconate,soothing,,,,
Acetyl Cyclohexapeptide-34,skin conditioning,,,,
Glyceryl Heptanoate,,,,1.000,10.000
"2,4-Diamino-5-methylphenoxyethanol",Colorant,,,,
Acetyl Dipeptide-1 Cetyl Ester,"cell-communicating ingredient, soothing",,,,
Acetyl Dipeptide-3 Aminohexanoate,skin conditioning,,,,
Acetyl Dipeptide-31 Amide,skin conditioning,,,,
Acetyl Hexapeptide-1,skin conditioning,,,,
Acetyl Hexapeptide-19,skin conditioning,,,,
Acetyl Hexapeptide-30,skin conditioning,,,,
Acetyl Hexapeptide-37,moisturizer/humectant,,,,
Acetyl Hexapeptide-38,skin conditioning,,,,
Acetyl Hexapeptide-49,skin conditioning,,,,
Acetyl Hexapeptide-51 Amide,skin conditioning,,,,
Acetyl Hexapeptide-7,skin protecting,,,,
"2,6-Diamino-3-Azo)Pyridine",Colorant,,,,
Acetyl Octapeptide-2,skin conditioning,,,,
Acetyl Pentapeptide-35,skin conditioning,,,,
Acetyl Tetrapeptide-15,skin conditioning,,,,
Acetyl Tetrapeptide-17,skin conditioning,,,,
Acetyl Tetrapeptide-3,cell-communicating ingredient,,,,
Acetyl Tetrapeptide-40,skin conditioning,,,,
Acetyl Tetrapeptide-5,"cell-communicating ingredient, moisturizer/humectant",,,,
Acetyl Tetrapeptide-9,skin conditioning,,,,
Centaurea Cyanus Flower,skin conditioning,,,,
Acetyl Tetrapeptide-22,skin conditioning,,,,
Hydroxypropyl bis(N-Hydroxyethyl-p-Phenylenediamine) HCl,Colorant,,,,
Hematein,Colorant,,,,
Croton Lechleri Resin,antioxidant,,,,
"2,4-Diamino-5-methylphenoxyethanol and its salts",Colorant,,,,
CI 42053/Fast Green FCF,Colorant,,,,
HC Blue No. 17,Colorant,,,,
Acetyl sh-Heptapeptide-1,skin conditioning,,,,
Petrolatum,emollient,,,0.000,
Curcuma Longa Root Oil,perfuming,,,,
"2,4-Diaminodiphenylamine",Colorant,,,,
Cutaneous Lysate,moisturizer/humectant,,,,
Cyanocobalamin,skin conditioning,,,,
"2,4-Diaminophenol",Colorant,,,,
Linolenic Acid,Skin Conditioning Agent,,,0.000,
Acetyl sh-Pentapeptide-35,skin conditioning,,,,
Acetyl sh-Tetrapeptide-1,skin conditioning,,,,
"2,4-Diaminophenol HCl",Colorant,,,,
Cyclopentane Carboxylic Acid,,,,0.000,
(2-Acetoxyethyl)Trimethylammonium Hydroxide (Acetylcholine and its salts),,,,0.000,
"2,4-Diaminophenoxyethanol Sulfate",Colorant,,,,
Ascorbyl Phosphate Succinoyl Pentapeptide-12,antioxidant,,,,
(2-Isopropylpent-4-enoyl)urea (apronalide),,,,0.000,
Cystine,"antistatic, hair conditioning, masking",,,,
"2,4-Diaminophenylethanol and its salts",Colorant,,,,
"1,1-Bis(dimethylaminomethyl)propyl benzoate",,,,0.000,
Bilirubin,Colorant,,,,
Copper Heptapeptide-14 Pantothenate,skin conditioning,,,,
DEA-Cetyl Sulfate,,-1.00,,,
Avena Sativa Peptide,"film forming, hair conditioning, skin conditioning",,,,
"1,2-Benzenedicarboxylic acid, Dipentylester, branched and linear; n-Pentyl-isopentylphthalate; di-n-Pentyl phthalate; Diisopentylphthalate",,,,0.000,
DNA,skin conditioning,,,,
"2,4-Xylidine, hydrochloride",Colorant,,,,
"1,2-Benzenedicarboxylic acid, di-C7-11-branched and linear alkyl esters",,,,0.000,
Daidzein,skin conditioning - miscellaneous,,,,
Darutoside,skin conditioning,,,,
"2,5-Xylidine, hydrochloride",Colorant,,,,
Barley sh-Oligopeptide-1,cell-communicating ingredient,,,,
"1,2-Bis(2-methoxyethoxy)ethane",,,,0.000,
Decapeptide-16,skin conditioning,,,,
"2,6-Bis(2-Hydroxyethoxy)-3,5-Pyridinediamine",Colorant,,,,
